1##1	سمو اله رحم رحم
3##45	قول ملك اله بشر كلم سمو بنی وجه دنو اخر قرب
3##46	كلم نوس مهد كهل صلح
3##47	قول ربب انی كون ولد مسس بشر قول اله خلق شیا قضی امر قول كون كون
3##48	علم كتب حكم
3##49	رسل بنی جیا ایی ربب خلق طین هیا طیر نفخ كون طیر اذن اله برا كمه برص حیی موت اذن اله نبا اكل ذخر بیت ایی كون امن
3##50	صدق بین یدی حلل بعض حرم جیا ایی ربب وقی اله طوع
3##51	اله ربب ربب عبد صرط قوم
3##52	حسس كفر قول نصر اله قول حور نصر اله امن اله شهد سلم
3##53	ربب امن نزل تبع رسل كتب شهد
3##54	مكر مكر اله اله خیر مكر
3##55	قول اله وفی رفع طهر كفر جعل تبع فوق كفر یوم قوم رجع حكم بین كون خلف
3##56	كفر عذب عذب شدد دنو اخر نصر
3##57	امن عمل صلح وفی اجر اله حبب ظلم
3##58	تلو ایی ذكر حكم
3##59	مثل عند اله مثل خلق ترب قول كون كون
3##60	حقق ربب كون مری
3##61	حجج بعد جیا علم قول علو دعو بنی بنی نسو نسو نفس نفس بهل جعل لعن اله كذب
3##62	قصص حقق اله اله اله عزز حكم
3##63	ولی اله علم فسد
3##64	قول اهل كتب علو كلم سوی بین بین عبد اله شرك شیا اخذ بعض بعض ربب دون اله ولی قول شهد سلم
3##65	اهل كتب حجج نزل بعد عقل
3##66	حجج علم حجج لیس علم اله علم علم
3##67	كون نصر كون حنف سلم كون شرك
3##68	ولی نوس تبع نبا امن اله ولی امن
3##69	ودد طوف اهل كتب ضلل ضلل نفس شعر
3##70	اهل كتب كفر ایی اله شهد
3##71	اهل كتب لبس حقق بطل كتم حقق علم
3##72	قول طوف اهل كتب امن نزل امن وجه نهر كفر اخر رجع
3##73	امن تبع دین قول هدی هدی اله اتی احد مثل اتی حجج عند ربب قول فضل یدی اله اتی شیا اله وسع علم
3##74	خصص رحم شیا اله فضل عظم
3##75	اهل كتب امن قنطر ادی امن دنر ادی دوم قوم قول لیس امم سبل قول اله كذب علم
3##76	وفی عهد وقی اله حبب وقی
3##77	شری عهد اله یمن ثمن قلل خلق اخر كلم اله نظر یوم قوم زكو عذب الم
3##78	فرق لوی لسن كتب حسب كتب كتب قول عند اله عند اله قول اله كذب علم
3##79	كون بشر اتی اله كتب حكم نبا قول نوس كون عبد دون اله كون ربب كون علم كتب كون درس
3##80	امر اخذ ملك نبا ربب امر كفر بعد سلم
3##81	اخذ اله وثق نبا اتی كتب حكم جیا رسل صدق امن نصر قول قرر اخذ اصر قول قرر قول شهد شهد
3##82	ولی بعد فسق
3##83	غیر دین اله بغی سلم سمو ارض طوع كره رجع
3##84	قول امن اله نزل نزل سبط اتی نبا ربب فرق بین احد سلم
3##85	بغی غیر سلم دین قبل اخر خسر
3##86	كیف هدی اله قوم كفر بعد امن شهد رسل حقق جیا بین اله هدی قوم ظلم
3##87	جزی لعن اله ملك نوس جمع
3##88	خلد خفف عذب نظر
3##89	توب بعد صلح اله غفر رحم
3##90	كفر بعد امن زید كفر قبل توب ضلل
3##91	كفر موت كفر قبل احد ملا ارض ذهب فدی عذب الم نصر
3##92	نیل برر نفق حبب نفق شیا اله علم
3##93	كلل طعم كون حلل بنی حرم نفس قبل نزل قول اتی تلو كون صدق
3##94	فری اله كذب بعد ظلم
3##95	قول صدق اله تبع ملل حنف كون شرك
3##96	اول بیت وضع نوس برك هدی علم
3##97	ایی بین قوم دخل كون امن اله نوس حجج بیت طوع سبل كفر اله غنی علم
3##98	قول اهل كتب كفر ایی اله اله شهد عمل
3##99	قول اهل كتب صدد سبل اله امن بغی عوج شهد اله غفل عمل
3##100	امن طوع فرق اتی كتب ردد بعد امن كفر
3##101	كیف كفر تلو ایی اله رسل عصم اله هدی صرط قوم
3##102	امن وقی اله حقق وقی موت سلم
3##103	عصم حبل اله جمع فرق ذكر نعم اله كون عدو الف بین قلب صبح نعم اخو كون شفو حفر نور نقذ بین اله ایی هدی
3##104	كون امم دعو خیر امر عرف نهی نكر فلح
3##105	كون فرق خلف بعد جیا بین عذب عظم
3##106	یوم بیض وجه سود وجه سود وجه كفر بعد امن ذوق عذب كون كفر
3##107	بیض وجه رحم اله خلد
3##108	ایی اله تلو حقق اله رود ظلم علم
3##109	اله سمو ارض اله رجع امر
3##110	كون خیر امم خرج نوس امر عرف نهی نكر امن اله امن اهل كتب كون خیر امن كثر فسق
3##111	ضرر اذی قتل ولی دبر نصر
3##112	ضرب ذلل ثقف حبل اله حبل نوس بوا غضب اله ضرب سكن كون كفر ایی اله قتل نبا غیر حقق عصی كون عدو
3##113	لیس سوی اهل كتب امم قوم تلو ایی اله انی لیل سجد
3##114	امن اله یوم اخر امر عرف نهی نكر سرع خیر صلح
3##115	فعل خیر كفر اله علم وقی
3##116	كفر غنی مول ولد اله شیا صحب نور خلد
3##117	مثل نفق حیی دنو مثل روح صرر صوب حرث قوم ظلم نفس هلك ظلم اله نفس ظلم
3##118	امن اخذ بطن دون الو خبل ودد عنت بدو بغض فوه خفی صدر كبر بین ایی كون عقل
3##119	حبب حبب امن كتب كلل لقی قول امن خلو عضض نمل غیظ قول موت غیظ اله علم صدر
3##120	مسس حسن سوا صوب سوا فرح صبر وقی ضرر كید شیا اله عمل حوط
3##121	غدو اهل بوا امن قعد قتل اله سمع علم
3##122	همم طوف فشل اله ولی اله وكل امن
3##123	نصر اله ذلل وقی اله شكر
3##124	قول امن كفی مدد ربب ثلث الف ملك نزل
3##125	صبر وقی اتی فور مدد ربب خمس الف ملك سوم
3##126	جعل اله بشر طمن قلب نصر عند اله عزز حكم
3##127	قطع طرف كفر كبت قلب خیب
3##128	لیس امر شیا توب عذب ظلم
3##129	اله سمو ارض غفر شیا عذب شیا اله غفر رحم
3##130	امن اكل ربو ضعف ضعف وقی اله فلح
3##131	وقی نور عدد كفر
3##132	طوع اله رسل رحم
3##133	سرع غفر ربب جنن عرض سمو ارض عدد وقی
3##134	نفق سرر ضرر كظم غیظ عفو نوس اله حبب حسن
3##135	فعل فحش ظلم نفس ذكر اله غفر ذنب غفر ذنب اله صرر فعل علم
3##136	جزی غفر ربب جنن جری تحت نهر خلد نعم اجر عمل
3##137	خلو قبل سنن سیر ارض نظر كیف كون عقب كذب
3##138	بین نوس هدی وعظ وقی
3##139	وهن حزن علو كون امن
3##140	مسس قرح مسس قوم قرح مثل یوم دول بین نوس علم اله امن اخذ شهد اله حبب ظلم
3##141	محص اله امن محق كفر
3##142	حسب دخل جنن علم اله جهد علم صبر
3##143	كون منی موت قبل لقی رای نظر
3##144	رسل خلو قبل رسل موت قتل قلب عقب قلب عقب ضرر اله شیا جزی اله شكر
3##145	كون نفس موت اذن اله كتب اجل رود ثوب دنو اتی رود ثوب اخر اتی جزی شكر
3##146	نبا قتل ربب كثر وهن صوب سبل اله ضعف كین اله حبب صبر
3##147	كون قول قول ربب غفر ذنب سرف امر ثبت قدم نصر قوم كفر
3##148	اتی اله ثوب دنو حسن ثوب اخر اله حبب حسن
3##149	امن طوع كفر ردد عقب قلب خسر
3##150	اله ولی خیر نصر
3##151	لقی قلب كفر رعب شرك اله نزل سلط اوی نور باس ثوی ظلم
3##152	صدق اله وعد حسس اذن فشل نزع امر عصی بعد رای حبب رود دنو رود اخر صرف بلو عفو اله فضل امن
3##153	صعد لوی احد رسل دعو اخر ثوب غمم غمم حزن فوت صوب اله خبر عمل
3##154	نزل بعد غمم امن نعس غشو طوف طوف همم نفس ظنن اله غیر حقق ظنن جهل قول امر شیا قول امر كلل اله خفی نفس بدو قول كون امر شیا قتل قول كون بیت برز كتب قتل ضجع بلو اله صدر محص قلب اله علم صدر
3##155	ولی یوم لقی جمع زلل شطن بعض كسب عفو اله اله غفر حلم
3##156	امن كون كفر قول اخو ضرب ارض كون غزو كون عند موت قتل جعل اله حسر قلب اله حیی موت اله عمل بصر
3##157	قتل سبل اله موت غفر اله رحم خیر جمع
3##158	موت قتل اله حشر
3##159	رحم اله لین كون فظظ غلظ قلب فضض حول عفو غفر شور امر عزم وكل اله اله حبب وكل
3##160	نصر اله غلب خذل نصر بعد اله وكل امن
3##161	كون نبا غلل غلل اتی غلل یوم قوم وفی كلل نفس كسب ظلم
3##162	تبع رضو اله بوا سخط اله اوی باس صیر
3##163	درج عند اله اله بصر عمل
3##164	منن اله امن بعث رسل نفس تلو ایی زكو علم كتب حكم كون قبل ضلل بین
3##165	صوب صوب صوب مثل قول انی قول عند نفس اله كلل شیا قدر
3##166	صوب یوم لقی جمع اذن اله علم امن
3##167	علم نفق قول علو قتل سبل اله دفع قول علم قتل تبع كفر قرب امن قول فوه لیس قلب اله علم كتم
3##168	قول اخو قعد طوع قتل قول درا نفس موت كون صدق
3##169	حسب قتل سبل اله موت حیی عند ربب رزق
3##170	فرح اتی اله فضل بشر لحق خلف خوف حزن
3##171	بشر نعم اله فضل اله ضیع اجر امن
3##172	جوب اله رسل بعد صوب قرح حسن وقی اجر عظم
3##173	قول نوس نوس جمع خشی زید امن قول حسب اله نعم وكل
3##174	قلب نعم اله فضل مسس سوا تبع رضو اله اله فضل عظم
3##175	شطن خوف ولی خوف خوف كون امن
3##176	حزن سرع كفر ضرر اله شیا رود اله جعل حظظ اخر عذب عظم
3##177	شری كفر امن ضرر اله شیا عذب الم
3##178	حسب كفر ملو خیر نفس ملو زید اثم عذب هون
3##179	كون اله وذر امن میز خبث طیب كون اله طلع غیب اله جبی رسل شیا امن اله رسل امن وقی اجر عظم
3##180	حسب بخل اتی اله فضل خیر شرر طوق بخل یوم قوم اله ورث سمو ارض اله عمل خبر
3##181	سمع اله قول قول اله فقر غنی كتب قول قتل نبا غیر حقق قول ذوق عذب حرق
3##182	قدم یدی اله لیس ظلم عبد
3##183	قول اله عهد امن رسل اتی قرب اكل نور قول جیا رسل قبل بین قول قتل كون صدق
3##184	كذب كذب رسل قبل جیا بین زبر كتب نور
