1##1	ٱسْم ٱللَّه رَّحْمَٰن رَّحِیم
2##129	رَبّ بَعَثَ فِي رَسُول مِن تَلَيٰ عَلَيٰ ءَایَة عَلَّمَ كِتَٰب حِكْمَة زَكَّيٰ إِنّ عَزِیز حَكِیم
2##130	مَن یَرْغَبُ عَن مِلَّة إِبْرَاهِیم إِلَّا مَن سَفِهَ نَفْس قَد ٱصْطَفَيٰ فِي دُّنْیَا إِنّ فِي آخِر مِن صَٰلِح
2##131	إِذ قَالَ رَبّ أَسْلَمَ قَالَ أَسْلَمَ رَبّ عَٰلَمِین
2##132	وَصَّيٰ إِبْرَاهِیم بُنَيّ یَعْقُوب بُنَيّ إِنّ ٱللَّه ٱصْطَفَيٰ دِین لَا مَّاتَ إِلَّا مُسْلِم
2##133	أَم كَانَ شَهِید إِذ حَضَرَ یَعْقُوب مَوْت إِذ قَالَ بُنَيّ مَا عَبَدَ مِن بَعْد قَالَ عَبَدَ إِلَٰه إِلَٰه آبَاء إِبْرَاهِیم إِسْمَاعِیل إِسْحَاق إِلَٰه وَٰحِد مُسْلِم
2##134	ذَٰلِك أُمَّة قَد خَلَا مَا كَسَبَ مَا كَسَبَ لَا سَأَلَ عَن مَا كَانَ عَمِلَ
2##135	قَالَ كَانَ هُود أَو نَصْرَانِیّ ٱهْتَدَيٰ قَالَ بَل مِلَّة إِبْرَاهِیم حَنِیف مَا كَانَ مِن مُشْرِك
2##136	قَالَ ءَامَنَ ٱللَّه مَا أَنزَلَ إِلَيٰ مَا أَنزَلَ إِلَيٰ إِبْرَاهِیم إِسْمَاعِیل إِسْحَاق یَعْقُوب أَسْبَاط مَا آتَي مُوسَيٰ عِیسَي مَا آتَي نَّبِيّ مِن رَبّ لَا فَرَّقُ بَیْن أَحَد مِن مُسْلِم
2##137	إِن ءَامَنَ مِثْل مَا ءَامَنَ قَد ٱهْتَدَيٰ إِن تَوَلَّيٰ إِنّ مَا فِي شِقَاق كَفَيٰ ٱللَّه سَمِیع عَلِیم
2##138	صِبْغَة ٱللَّه مَن أَحْسَن مِن ٱللَّه صِبْغَة عَابِد
2##139	قَالَ حَآجَّ فِي ٱللَّه رَبّ رَبّ عَمَل عَمَل مُخْلِص
2##140	أَم قَالَ إِنّ إِبْرَاهِیم إِسْمَاعِیل إِسْحَاق یَعْقُوب أَسْبَاط كَانَ هُود أَو نَصْرَانِیّ قَالَ أَعْلَم أَم ٱللَّه مَن أَظْلَم مِن مَن كَتَمَ شَهَٰدَة عِند مِن ٱللَّه مَا ٱللَّه غَٰفِل عَن مَا عَمِلَ
2##141	ذَٰلِك أُمَّة قَد خَلَا مَا كَسَبَ مَا كَسَبَ لَا سَأَلَ عَن مَا كَانَ عَمِلَ
2##142	قَالَ سَفِیه مِن نَّاس مَا وَلَّيٰ عَن قِبْلَة ٱلَّذِي كَانَ عَلَيٰ قَالَ ٱللَّه مَشْرِق مَغْرِب هَدَي مَن شَآءَ إِلَيٰ صِرَٰط مُّسْتَقِیم
2##143	ذَٰلِك جَعَلَ أُمَّة وَسَط كَانَ شَهِید عَلَيٰ نَّاس كَانَ رَسُول عَلَيٰ شَهِید مَا جَعَلَ قِبْلَة ٱلَّذِي كَانَ عَلَيٰ إِلَّا عَلِمَ مَن ٱتَّبَعَ رَسُول مِن مَن ٱنقَلَبَ عَلَيٰ عَقِب إِن كَانَ كَبِیرَة إِلَّا عَلَيٰ ٱلَّذِي هَدَي ٱللَّه مَا كَانَ ٱللَّه أَضَاعُ إِیمَٰن إِنّ ٱللَّه نَّاس رَءُوف رَّحِیم
2##144	قَد رَءَا تَقَلُّب وَجْه فِي سَمَآء وَلَّيٰ قِبْلَة رَّضِيَ وَلَّيٰ وَجْه شَطْر مَسْجِد حَرَام حَیْث مَا كَانَ وَلَّيٰ وَجْه شَطْر إِنّ ٱلَّذِي آتَي كِتَٰب عَلِمَ أَنّ حَقّ مِن رَبّ مَا ٱللَّه غَٰفِل عَن مَا عَمِلَ
2##145	إِن أَتَي ٱلَّذِي آتَي كِتَٰب كُلّ ءَایَة مَا تَبِعَ قِبْلَة مَا تَابِع قِبْلَة مَا بَعْض تَابِع قِبْلَة بَعْض إِن ٱتَّبَعَ أَهْوَآء مِن بَعْد مَا جَآءَ مِن عِلْم إِنّ إِذًا مِن ظَالِم
2##146	ٱلَّذِي آتَي كِتَٰب عَرَفَ مَا عَرَفَ ٱبْن إِنّ فَرِیق مِن كَتَمَ حَقّ عَلِمَ
2##147	حَقّ مِن رَبّ لَا كَانَ مِن مُمْتَرِین
2##148	كُلّ وِجْهَة مُوَلِّی ٱسْتَبَقَ خَیْرَٰت أَیْن مَا كَانَ أَتَي ٱللَّه جَمِیع إِنّ ٱللَّه عَلَيٰ كُلّ شَيْء قَدِیر
2##149	مِن حَیْث خَرَجَ وَلَّيٰ وَجْه شَطْر مَسْجِد حَرَام إِنّ حَقّ مِن رَبّ مَا ٱللَّه غَٰفِل عَن مَا عَمِلَ
2##150	مِن حَیْث خَرَجَ وَلَّيٰ وَجْه شَطْر مَسْجِد حَرَام حَیْث مَا كَانَ وَلَّيٰ وَجْه شَطْر أَن لَا كَانَ نَّاس عَلَيٰ حُجَّة إِلَّا ٱلَّذِي ظَلَمَ مِن لَا خَشِيَ خَشِيَ أَتَمَّ نِعْمَة عَلَيٰ لَعَلّ ٱهْتَدَيٰ
2##151	مَا أَرْسَلَ فِي رَسُول مِن تَلَيٰ عَلَيٰ ءَایَة زَكَّيٰ عَلَّمَ كِتَٰب حِكْمَة عَلَّمَ مَا لَم كَانَ عَلِمَ
2##152	ذَكَرَ ذَكَرَ شَكَرَ لَا كَفَرَ
2##153	أَیُّهَا ٱلَّذِي ءَامَنَ ٱسْتَعِینُ صَبْر صَلَوٰة إِنّ ٱللَّه مَع صَابِر
2##154	لَا قَالَ مَن قَتَلَ فِي سَبِیل ٱللَّه مَّیِّت بَل حَیّ لَٰكِن لَا یَشْعُرُ
2##155	بَلَوْ شَيْء مِن خَوْف جُوع نَقْص مِن مَال نَفْس ثَمَرَٰت بُشِّرَ صَابِر
2##156	ٱلَّذِي إِذَا أَصَابَ مُّصِیبَة قَالَ إِنّ ٱللَّه إِنّ إِلَيٰ رَٰجِعُون
2##157	أُولَٰٓئِك عَلَيٰ صَلَوٰة مِن رَبّ رَحْمَة أُولَٰٓئِك مُّهْتَدُون
2##158	إِنّ صَّفَا مَرْوَة مِن شَعَٰٓئِر ٱللَّه مَن حَجَّ بَیْت أَو ٱعْتَمَرَ لَا جُنَاح عَلَيٰ أَن یَطَّوَّفَ مَن تَطَوَّعَ خَیْر إِنّ ٱللَّه شَاكِر عَلِیم
2##159	إِنّ ٱلَّذِي كَتَمَ مَا أَنزَلَ مِن بَیِّنَة هُدًي مِن بَعْد مَا بَیَّنُ نَّاس فِي كِتَٰب أُولَٰٓئِك لَعَنَ ٱللَّه لَعَنَ لَّٰعِنُون
2##160	إِلَّا ٱلَّذِي تَابَ أَصْلَحَ بَیَّنُ أُولَٰٓئِك تَابَ عَلَيٰ تَوَّاب رَّحِیم
2##161	إِنّ ٱلَّذِي كَفَرَ مَّاتَ كَافِر أُولَٰٓئِك عَلَيٰ لَعْنَة ٱللَّه مَلَك نَّاس أَجْمَعِین
2##162	خَٰلِد فِي لَا خَفَّفَ عَن عَذَاب لَا یُنظَرُ
2##163	إِلَٰه إِلَٰه وَٰحِد لَا إِلَٰه إِلَّا رَّحْمَٰن رَّحِیم
2##164	إِنّ فِي خَلْق سَمَآء أَرْض ٱخْتِلَٰف لَیْل نَهَار فُلْك ٱلَّذِي جَرَیْ فِي بَحْر مَا نَفَعَ نَّاس مَا أَنزَلَ ٱللَّه مِن سَمَآء مِن مَآء أَحْیَا أَرْض بَعْد مَوْت بَثَّ فِي مِن كُلّ دَآبَّة تَصْرِیف رِیح سَحَاب مُسَخَّر بَیْن سَمَآء أَرْض ءَایَة قَوْم عَقَلُ
2##165	مِن نَّاس مَن ٱتَّخَذَ مِن دُون ٱللَّه أَندَاد أَحْبَبْ حُبّ ٱللَّه ٱلَّذِي ءَامَنَ أَشَدّ حُبّ ٱللَّه لَو رَءَا ٱلَّذِي ظَلَمَ إِذ رَءَا عَذَاب أَنّ قُوَّة ٱللَّه جَمِیع أَنّ ٱللَّه شَدِید عَذَاب
2##166	إِذ تَبَرَّأَ ٱلَّذِي ٱتَّبَعَ مِن ٱلَّذِي ٱتَّبَعَ رَءَا عَذَاب تَّقَطَّعَ سَبَب
2##167	قَالَ ٱلَّذِي ٱتَّبَعَ لَو أَنّ كَرَّة تَبَرَّأَ مِن مَا تَبَرَّأَ مِن ذَٰلِك أَرَیْ ٱللَّه عَمَل حَسْرَة عَلَيٰ مَا خَارِج مِن نَار
2##168	أَیُّهَا نَّاس أَكَلَ مِن مَا فِي أَرْض حَلَٰل طَیِّب لَا ٱتَّبَعَ خُطُوَٰت شَیْطَٰن إِنّ عَدُوّ مُّبِین
2##169	إِنّ مَا أَمَرَ سُوٓء فَحْشَآء أَن قَالَ عَلَيٰ ٱللَّه مَا لَا عَلِمَ
2##170	إِذَا قَالَ ٱتَّبَعَ مَا أَنزَلَ ٱللَّه قَالَ بَل ٱتَّبَعَ مَا أَلْفَ عَلَيٰ آبَاء لَو كَانَ آبَاء لَا عَقَلُ شَيْء لَا ٱهْتَدَيٰ
2##171	مَثَل ٱلَّذِي كَفَرَ مَثَل ٱلَّذِي یَنْعِقُ مَا لَا سَمِعَ إِلَّا دُعَآء نِدَآء أَصَمّ أَبْكَم أَعْمَيٰ لَا عَقَلُ
2##172	أَیُّهَا ٱلَّذِي ءَامَنَ أَكَلَ مِن طَیِّبَٰت مَا رَزَقَ شَكَرَ ٱللَّه إِن كَانَ إِیَّا عَبَدَ
2##173	إِنّ مَا حَرَّمَ عَلَيٰ مَیْتَة دَم لَحْم خِنزِیر مَا أُهِلَّ غَیْر ٱللَّه مَن ٱضْطُرَّ غَیْر بَاغ لَا عَاد لَا إِثْم عَلَيٰ إِنّ ٱللَّه غَفُور رَّحِیم
2##174	إِنّ ٱلَّذِي كَتَمَ مَا أَنزَلَ ٱللَّه مِن كِتَٰب ٱشْتَرَيٰ ثَمَن قَلِیل أُولَٰٓئِك مَا أَكَلَ فِي بَطْن إِلَّا نَار لَا كَلَّمَ ٱللَّه یَوْم قِیَٰمَة لَا زَكَّيٰ عَذَاب أَلِیم
2##175	أُولَٰٓئِك ٱلَّذِي ٱشْتَرَيٰ ضَلَٰلَة هُدًي عَذَاب مَّغْفِرَة مَا صَبَرَ عَلَيٰ نَار
2##176	ذَٰلِك أَنّ ٱللَّه نَزَّلَ كِتَٰب حَقّ إِنّ ٱلَّذِي ٱخْتَلَفَ فِي كِتَٰب فِي شِقَاق بَعِید
2##177	لَّیْسَ بِرّ أَن وَلَّيٰ وَجْه قِبَل مَشْرِق مَغْرِب لَٰكِنّ بِرّ مَن ءَامَنَ ٱللَّه یَوْم آخِر مَلَك كِتَٰب نَّبِيّ آتَي مَال عَلَيٰ حُبّ ذُو قُرْبَيٰ یَتِیم مِسْكِین ٱبْن سَبِیل سَآئِل فِي رَقَبَة أَقَامَ صَلَوٰة آتَي زَكَوٰة مُوفُون عَهْد إِذَا عَٰهَدَ صَابِر فِي بَأْسَآء ضَرَّآء حِین بَأْس أُولَٰٓئِك ٱلَّذِي صَدَقَ أُولَٰٓئِك مُتَّقِین
2##178	أَیُّهَا ٱلَّذِي ءَامَنَ كَتَبَ عَلَيٰ قِصَاص فِي قَتْلَي حُرّ حُرّ عَبْد عَبْد أُنثَيٰ أُنثَيٰ مَن عَفَا مِن أَخ شَيْء ٱتِّبَاع مَّعْرُوف أَدَآء إِلَيٰ إِحْسَٰن ذَٰلِك تَخْفِیف مِن رَبّ رَحْمَة مَن ٱعْتَدَيٰ بَعْد ذَٰلِك عَذَاب أَلِیم
2##179	فِي قِصَاص حَیَوٰة أُولِي أَلْبَٰب لَعَلّ ٱتَّقَيٰ
2##180	كَتَبَ عَلَيٰ إِذَا حَضَرَ أَحَد مَوْت إِن تَرَكَ خَیْر وَصِیَّة وَالِد أَقْرَب مَّعْرُوف حَقّ عَلَيٰ مُتَّقِین
2##181	مَن بَدَّلَ بَعْد مَا سَمِعَ إِنّ مَا إِثْم عَلَيٰ ٱلَّذِي بَدَّلَ إِنّ ٱللَّه سَمِیع عَلِیم
2##182	مَن خَافَ مِن مُّوص جَنَف أَو إِثْم أَصْلَحَ بَیْن لَا إِثْم عَلَيٰ إِنّ ٱللَّه غَفُور رَّحِیم
2##183	أَیُّهَا ٱلَّذِي ءَامَنَ كَتَبَ عَلَيٰ صِیَام مَا كَتَبَ عَلَيٰ ٱلَّذِي مِن قَبْل لَعَلّ ٱتَّقَيٰ
2##184	یَوْم مَّعْدُودَة مَن كَانَ مِن مَّرِیض أَو عَلَيٰ سَفَر عِدَّة مِن یَوْم آخَر عَلَيٰ ٱلَّذِي یُطِیقُ فِدْیَة طَعَام مِسْكِین مَن تَطَوَّعَ خَیْر خَیْر أَن یَصُمْ خَیْر إِن كَانَ عَلِمَ
2##185	شَهْر رَمَضَان ٱلَّذِي أَنزَلَ فِي قُرْءَان هُدًي نَّاس بَیِّنَة مِن هُدًي فُرْقَان مَن شَهِدَ مِن شَهْر یَصُمْ مَن كَانَ مَّرِیض أَو عَلَيٰ سَفَر عِدَّة مِن یَوْم آخَر أَرَادَ ٱللَّه یُسْر لَا أَرَادَ عُسْر أَكْمَلْ عِدَّة كَبِّرْ ٱللَّه عَلَيٰ مَا هَدَي لَعَلّ شَكَرَ
2##186	إِذَا سَأَلَ عَبْد عَن إِنّ قَرِیب أُجِیبَت دَعْوَة دَّاع إِذَا دَعَا ٱسْتَجَابَ ءَامَنَ لَعَلّ یَرْشُدُ
2##187	أَحَلَّ لَیْلَة صِیَام رَفَث إِلَيٰ نِسَآء لِبَاس لِبَاس عَلِمَ ٱللَّه أَنّ كَانَ یَخْتَانُ نَفْس تَابَ عَلَيٰ عَفَا عَن َٰن بَٰشِرُ ٱبْتَغَيٰ مَا كَتَبَ ٱللَّه أَكَلَ شَرِبَ حَتَّيٰ تَبَیَّنَ خَیْط أَبْیَض مِن خَیْط أَسْوَد مِن فَجْر ثُمّ أَتَمَّ صِیَام إِلَيٰ لَیْل لَا بَٰشِرُ عَاكِف فِي مَسْجِد ذَٰلِك حُدُود ٱللَّه لَا یَقْرَبُ ذَٰلِك بَیَّنُ ٱللَّه ءَایَة نَّاس لَعَلّ ٱتَّقَيٰ
2##188	لَا أَكَلَ مَال بَیْن بَٰطِل أَدْلَيٰ إِلَيٰ حُكَّام أَكَلَ فَرِیق مِن مَال نَّاس إِثْم عَلِمَ
2##189	سَأَلَ عَن أَهِلَّة قَالَ مِیقَٰت نَّاس حَجّ لَّیْسَ بِرّ أَن أَتَي بَیْت مِن ظَهْر لَٰكِنّ بِرّ مَن ٱتَّقَيٰ أَتَي بَیْت مِن بَاب ٱتَّقَيٰ ٱللَّه لَعَلّ أَفْلَحَ
2##190	قَٰتَلَ فِي سَبِیل ٱللَّه ٱلَّذِي قَٰتَلَ لَا ٱعْتَدَيٰ إِنّ ٱللَّه لَا أَحْبَبْ مُعْتَدِین
2##191	قَتَلَ حَیْث ثُقِفُ أَخْرَجَ مِن حَیْث أَخْرَجَ فِتْنَة أَشَدّ مِن قَتْل لَا قَٰتَلَ عِند مَسْجِد حَرَام حَتَّيٰ قَٰتَلَ فِي إِن قَٰتَلَ قَتَلَ ذَٰلِك جَزَآء كَٰفِرُون
2##192	إِن ٱنتَهَيٰ إِنّ ٱللَّه غَفُور رَّحِیم
2##193	قَٰتَلَ حَتَّيٰ لَا كَانَ فِتْنَة كَانَ دِین ٱللَّه إِن ٱنتَهَيٰ لَا عُدْوَٰن إِلَّا عَلَيٰ ظَالِم
2##194	شَهْر حَرَام شَهْر حَرَام حُرُمَٰت قِصَاص مَن ٱعْتَدَيٰ عَلَيٰ ٱعْتَدَيٰ عَلَيٰ مِثْل مَا ٱعْتَدَيٰ عَلَيٰ ٱتَّقَيٰ ٱللَّه عَلِمَ أَنّ ٱللَّه مَع مُتَّقِین
2##195	أَنفَقَ فِي سَبِیل ٱللَّه لَا أَلْقَيٰٓ یَد إِلَيٰ تَّهْلُكَة أَحْسَنَ إِنّ ٱللَّه أَحْبَبْ مُحْسِن
2##196	أَتَمَّ حَجّ عُمْرَة ٱللَّه إِن أُحْصِرُ مَا ٱسْتَیْسَرَ مِن هَدْی لَا تَحْلِقُ رَأْس حَتَّيٰ بَلَغَ هَدْی مَحِلّ مَن كَانَ مِن مَّرِیض أَو أَذًي مِن رَأْس فِدْیَة مِن صِیَام أَو صَدَقَة أَو نُسُك إِذَا أَمِنَ مَن تَمَتَّعَ عُمْرَة إِلَيٰ حَجّ مَا ٱسْتَیْسَرَ مِن هَدْی مَن لَم وَجَدَ صِیَام ثَلَٰثَة یَوْم فِي حَجّ سَبْعَة إِذَا رَجَعَ ذَٰلِك عَشَرَة كَامِلَة ذَٰلِك مَن لَم كَانَ أَهْل حَاضِرِي مَسْجِد حَرَام ٱتَّقَيٰ ٱللَّه عَلِمَ أَنّ ٱللَّه شَدِید عِقَاب
2##197	حَجّ شَهْر مَّعْلُومَٰت مَن فَرَضَ فِي حَجّ لَا رَفَث لَا فُسُوق لَا جِدَال فِي حَجّ مَا فَعَلَ مِن خَیْر عَلِمَ ٱللَّه تَزَوَّدُ إِنّ خَیْر زَّاد تَقْوَي ٱتَّقَيٰ أُولِي أَلْبَٰب
2##198	لَّیْسَ عَلَيٰ جُنَاح أَن ٱبْتَغَيٰ فَضْل مِن رَبّ إِذَا أَفَاضَ مِن عَرَفَٰت ذَكَرَ ٱللَّه عِند مَشْعَر حَرَام ذَكَرَ مَا هَدَي إِن كَانَ مِن قَبْل مِن ضَآلّ
2##199	ثُمّ أَفَاضَ مِن حَیْث أَفَاضَ نَّاس ٱسْتَغْفَرَ ٱللَّه إِنّ ٱللَّه غَفُور رَّحِیم
2##200	إِذَا قَضَيٰٓ مَنسَك ذَكَرَ ٱللَّه ذِكْر آبَاء أَو أَشَدّ ذِكْر مِن نَّاس مَن قَالَ رَبّ آتَي فِي دُّنْیَا مَا فِي آخِر مِن خَلَٰق
