,Finglish,Persian
411,in kheily hayajan angiz ast.,اين خيلي هيجان انگيزه
452,yek mashin e vaghei begir.,! يه ماشين واقعي بگير
218,chera nemitouni beri pishesh.,چرا نميتوني بري پيشش؟
725,rooz jahaani saalmandan raa be taktak javaan haaye iraan tabrik migam,روز جهانی سالمندان رو به تک تک جوونای ایران تبریک میگم
1593,"baa joziyaat harche bishtar, aan vaziyat raa tosif konid.",با جزییات هر چه بیشتر، آن وضعیت را توصیف کنید
156,ba faryud chand bar begam? chera be kharj kasi nemireh?doost darin hamishe dast zoor rou saretoon bashe? ,بافریاد چندبار بگم؟ چرا به خرج کسی نمیره؟ دوست دارین همیشه دست زور رو سرتون باشه؟
916,taaze in ghesmat badesh nist,تازه اين قسمت بدش نيست
1784,kaashki par nemikeshidi baalet o shekaste boodam.,کاشکی پر نمی کشیدی بالت و شکسته بودم
1412,paasokh daad: dar in nazdiki cheshmeye aabi hast va man moratab noke khod raa por az aab mikonam va aan raa rooye aatash mirizam.,پاسخ داد : در این نزدیکی چشمه آبی هست و من مرتب نوک خود را پر از آب می کنم و آن را روی آتش می ریزم !
205,man bayad az inja beram.,!من بايد از اينجا برم
1110,"javaanaan az maa kaar aamoozi mikhaahand, baraaye forsate kaar, baraaye kaar aamoozi.",جوانان از ما کارآموزی میخواهند، برای فرصت کار، برای کارآموزی
542,pas chera aan harf ra zad?,پس چرا اون حرف رو زد؟-
265,pasho be jayeh in harf ha ye sari be oun ash bezan.,پاشو بجای این حرفا یه سری به اون اش بزن.
1465,mage nemidooni man taa sobh kaar mikonam?,مگه نمی دونی من تا صبح کار می کنم؟
52,behesh begou man  hasasiat daram.,بهش بگو من حساسيت دارم
287,rouzi dar daftare vakili neshasteh boudam ke ba bozorg tarin saregh herfe ie ashna shodam.,1- روزی در دفتر یک وکیل نشسته بودم که با بزرگترین سارق حرفه ای آشنا شدم
9,eyneh sorakheh moush mimouneh.,عين سوراخ موش مي مونه
1572,in maskhare tarin chiziye ke taa haalaa didam.,این مسخره ترین چیزیه که تا حالا دیدم
1379,emrooz koli geriye kardam chon nemikhaam baabaa va maamaanam pir beshan.,امروز کلی گریه کردم چون نمیخام بابام و مامانم پیربشن
1902,in ye masale shoghli hast.,این یه مسئله شغلی هست
1631,"hey, bebin, goosh kon.",هی ، ببین ، گوش کن
774,man yek meghdaar khashmgin shodam,من يک مقدار خشمگين شدم
1184,hich sooraakhi oonjaa nist.,.هیچ سوراخی اونجا نیست
1684,bazi vaghtaa ye khaabe kheyli ghashang mibini.,بعضی وقتا یه خواب خیلی قشنگ میبینی
146,az damaghet dare khoon miad.,از دماغت داره خون مياد
853,be khodaa ghadr daaryoosh raa bedaanid be hamin shirinkaam ghasam lenge ash kam ast too mard haa,بخدا قدر داریوش رو بدونین! به همین شیرین کام قسم، لنگش کمه تو مردا.
1416,ye doosti daarim ke khaanoomesh haamele shod va chon kasi ro too in shahr nadaashtan maamaanam raft bimaarestaan va moond pishesh.,یه دوستی داریم که خانومش حامله شد و چون کسی رو تو این شهر نداشتن مامانم رفت بیمارستان و موند پیشش
923,cheraa daaram be to migooyam?,چرا دارم به تو مي گم؟
667,hame sobh haa ham naboodash,.همه صبحها هم نبودش
1417,"az aan lahze dar mohite kaaram, ehsaas mikonam kaamelan tanhaa, baakhte va bedoon poshtibaan hastam.",از آن لحظه در محیط کارم، احساس میکنم کاملاً تنها، باخته و بدون پشتیبان هستم
568,dari kheili sakhtesh mikoni.,!داري خيلي سختش مي کني
1074,joyi nakhor! kheyli daaghe.,جویی نخور ! خیلی داغه
835,hastam delash baraayam tang mishavad,حسن، دلش برام تنگ میشه
550,"chi refigh, na man faghat slide misazam.",» «چی؟ رفیق، نه، من فقط اسلاید میسازم
154,ye chek panjah hezar dolary baraye.,يه چک 50000 دلاري براي
1197,"shomaa ham komakam mikonin, ino begiram?",شما هم کمکم می کنین، اینو بگیرم؟
1113,aaghaa ham ghabool kard!,آقاهم قبول کرد!
419,be hamin elat unisrf va hamkaran aan ba khat ash dar hal rah andazi e yek ebtekar jahani hastand.,به همین علت یونیسف و همکاران عام و خاصش در حال راه اندازی یک ابتکار جهانی هستند
1448,aaroom! cheraa daad mizani?! goftam ke aaghaa esfandiyaar khaabe.,اروم! چرا داد می زنی؟! گفتم که اقا اسفندیار خوابه!
1612,yaa shaayad jomle nesbatan jadid ast.,یا شاید جمله نسبتا جدید است.
681,faghat nemidoonam che tori mishavad aabshaar behesht,فقط نمی دونم چه جوری میشه رفت ابشار بهشت
1380,maa iraani haa savaare yek keshti hastim amaa to moraaghebe ghaayeghe tashrifaatet baash.,ما ایرانیها سوار یک کشتی هستیم اما تو مراقب قایق تشریفاتت باش
1626,beshin maadar. beshin beram baraat chaayi biyaaram.,بشین مادر. بشین برم برات چایی بیارم.
1542,yaa ye ehaanate baavar nakardani.,یا یه اهانت باورنکردنی
504,ke in ravand ha ye ham gera ye jahani ra be dast midahad.,که این روندهای همگرای جهانی را بدست میدهد
779,vakman man raa ham pas bede,!واکمن من رو هم پس بده
61,man oun ro motaghaed kardam.,من اون رو متعاقد کردم
1867,telefon ro dozdide baashi?,تلفن رو دزدیده باشی؟
1203,vaay khodaa che barfi az dishab daare miyaad.,وای خدا چه برفی از دیشب داره میاد
1278,va az jaade be door oftaade ast.,واز جاده به دور افتاده است.
589,baham sharab e sib khordim.,.با هم شراب سيب خورديم
19,man ghahraman nabard nahaei am?,من قهرمان نبرد نهائيم؟
1418,midoonin ke khaabe rooze daar ebaadate.,میدونین که خواب روزه دار عبادته
1868,yek doone majaani mifreste.,یک دونه مجانی می فرسته
714,yek maadar shohar daaram migoft age talaa haam raa gom nemikardam miforokhtam va midaadam behetoon va che ghadr afsoos mikhord ke nemitoone komakemoon kone,یه مادرشوهردارم: میگفت اگه طلاهامو گم نمیکردم میفروختم و میدادم بهتون و چقد افسوس میخورد که نمیتونه کمکمون کنه
1430,baayad be ahdaafe tose'e paaydaar dar miyaane marz haaye sayaarei dast yaabim.,باید به اهداف توسعه پایدار در میان مرزهای سیارهای دست یابیم
999,aan raa dor zadand va be raahe khod edaame daadand.,ان را دور زدند و به راه خود ادامه دادند
566,man mikhaham bishtar bedanam.,من مي خوام بيشتر بدونم
631,albate anaam ra migiram.,البته انعام رو می گیرم
217,hamid be man goft ke.,. حمید به من گفت که
276,ajibeh in rouz ha hameh fough takhasoseshoun tou namak nashnasie.,عجيبه اينروزا همه فوق تخصصشون تو نمكـ نشناسيه
1308,baaz ham sahme maa az footbaal too tamaame in saal haa gereftane belit baraaye doostaamoon boode.,باز هم سهم ما از فوتبال تو تمام این سالها گرفتن بلیت براى دوستامون بوده
823,aasef ghadeshaan boland ast?,عاصف قدشون بلنده؟
376,ghablesh ba mohsen dar rabet e ba ezdevaj harf zade boudim va barname rizi karde boodim.,قبلش با محسن در رابطه با ازدواج حرف زده بودیم و برنامه ریزی کرده بودیم
997,doost daashti baashe imaan.,دوست داشتی باشه ایمان
847,behesh begoo hich kas nemitavaanad,بهش بگو هيچکس نمي تونه
1810,faghat jahaan gardaa ejaaze vorood be injaa ro daaran.,فقط جهانگردا اجازه ورود به اینجا رو دارن
973,khoda kheyrat bedehad maadar dastat dard nakonad,خدا خیرت بده مادر دستت درد نکنه.
507,mitavanam komak konam az hayatetan rad be shavid.,می تونم کمک کنم از حیاط تون رد بشین
789,khoshkam zad ashk haayam shor shor rikhtand,خشکم زد،اشکام شرشر ریختن
1028,mishe baahaat sohbat konim?,میشه باهات صحبت کنیم ؟
1605,vaghti aan haa dar markaze rahbaraane khalaagh boodand.,وقتی آنها در مرکز رهبران خلاق بودند
292,hala mikhaham dastani darbureye eshgh begouyam.,حالا میخواهم داستانی درباره عشق بگویم
1800,maajeraaye hayoolaaye barfiye zesht.,ماجرای هیولای برفی زشت
245,"tamos telephonie rashid pour ba zani ke kode melish ro be froush gozashte, sham nadaram be bache am bedam.",تماس تلفنی رشیدپور با زنی که کد ملی اش را به فروش گذاشته،شام ندارم به بچه م بدم!
745,jedi to yek antern hasti?,جدي تو يه انترن هستي ؟
856,kaashima khoob entegham baakht saaypa too jaam hazfi raa gereft,کاشیما خوب انتقام باخت به سایپا تو جام حذفی رو گرفت
783,nesf rooz daaneshgaham nesf digarash raa ham be bache haaye mardom dars mideham khabari nist,نصف روز دانشگاهم،نصف دیگشم به بچه های مردم درس می دم. خبری نیست.
1140,man be omide sebilaat oomadam khoonat looti. poshtam ro khaali nakon.,من به امید سبیلات اومدم خونت لوتی. پشتم رو خالی نکن.
383,"man chizi nemigam dahanam ghors e amaa mahz e etelaa age dafe baad  khast beayad in tou goushiash ra azash begirim, akhe har vaght amade ast bedoun e goushi nayamade , yek tir va do neshoun mizane.",من چیزی نمیگم. دهنم قرصه. اما محض اطلاع اگه دفعه بعد خواست بیاد این تو، گوشیشو ازش بگیرین. آخه هر بار که اومده بدون گوشی نیومده، یه تیرو دونشون میزنه.
1024,choobe chogaane man ro didi?,چوب چوگان من ور دیدی؟
861,yek lahze gooshi raa negahdaar,يه لحظه گوشي رو نگهدار
840,bi adabi kaarkonaan va amalkard shaan raa bi asar mikonad,بیادبی کارکنان و عملکردشان را کم اثر میکند
1090,baid midoonam be zamin nazdik shode baashim.,بعید می دونم به زمین نزدیک شده باشیم
1606,vaghti kasi baa shomaa sohbat mikonad payaam bedahid.,وقتی کسی با شما صحبت میکند پیام بدهید
1467,kaaylaa ghaabeliyate etesaal be shabakeye jahaani va daaraaye teknolozhiye tashkhise sedaa bood.,کایلا قابلیت اتصال به شبکه جهانی و دارای تکنولوژی تشخیص صدا بود
1360,piremarde faghiri ke behtarin marde jahaan shenaakhte shod.,پیرمرد فقیری که بهترین مرد جهان شناخته شد
418,man ba dam pezeshk harf zadam.,من با دامپزشک حرف زدم
1276,amaa alaave bar aan rismaan shaanei niz peydaa kardam.,اما علاوه بر ان ریسمان شانهای نیز پیدا کردم
469,oon zan yek joor haei lokht ast.,اون زنه يه جورايي لخته
394,man donbal e yek ketab hastam.,من دنبال يه کتاب هستم
1875,yani in boo haa booye kiye?,یعنی این بو ها، بوی کیه؟
1798,"be shoharjaan goftam, saale bad tahte hich sharaayeti ghabool nemikonam.",به شوهرجان گفتم،سال بعد تحت هیچ شرایطی قبول نمیکنم
1620,belit baraa baaziye jet daarim.,بلیط برا بازی جت داریم
1563,va hamintor ke be tahghogh edaame daadim.,و همینطور که به تحقیق ادامه دادیم
26,digar dashtam tam vagheiy zemestan ra faramoush mikardam ke in barf khoushgel amad.,دیگه داشتم طعم واقعی زمستون رو فراموش میکردم که این برف خوشگل اومد
1911,cheraa vaase khodetoon miborin va midoozin? masale chize digas.,چرا واسه خودتون می برین و می دوزین؟ مسئله چیز دیگس.
424,"doust e madar shohar, to ke gofti kasi bemirad man gerye nemikonam.",دوست مادرشوهر:تو که میگفتی یکی بمیره من گریه نمیکنم؟
